id,標題,說明,例題,問法
M90001,連比與連比例式,能進行連比記錄與推理，理解連比例式的計算與應用。,若 a:b = 2:3 且 b:c = 4:5，求 a:c。,什麼是連比？｜連比例怎麼算？｜可以用計算機嗎？
M90002,相似圖形與邊角關係,理解相似圖形縮放的意義，能說明對應角相等與對應邊成比例的性質。,若兩個三角形相似，對應邊為 3cm 和 6cm，比例是多少？,什麼叫相似？｜要滿足什麼條件？｜為什麼角相等邊成比例？
M90003,三角形的相似判定,能判別三角形是否相似（AA、SAS、SSS）並應用於相似比的計算問題。,兩個三角形的角度皆為 30°、60°、90°，是否相似？,怎麼知道兩個三角形相似？｜角相等一定相似嗎？｜比例怎麼用？
M90004,平行線截比性質,理解平行線截線段成比例的幾何性質，並應用於線段長度推理與判斷是否平行。,若一線段被平行線截成 3:4，另一邊被截為 6:x，求 x。,平行線怎麼用比例判斷？｜截比定理是什麼？｜有公式嗎？
M90005,直角三角形中邊長比例的不變性,了解 30°-60°-90° 與 45°-45°-90° 三角形中的邊長比固定不變，可應用於三角函數前導。,一個三角形有角 30°、60°、90°，其邊長比為多少？,邊長比一定會一樣嗎？｜三角函數是什麼？｜為什麼角度決定邊？
M90006,扇形與弧長、面積公式,能理解扇形與弧長的關係，運用弧度計算弧長與面積。,半徑為 10，圓心角為 60°，求弧長。,扇形面積怎麼算？｜弧長是什麼？｜要用 π 嗎？
M90007,圓的幾何性質,理解圓心角、圓周角、對應弧的度數關係，及切線與對角線的性質。,圓周角是圓心角的一半嗎？,圓內接四邊形有什麼性質？｜為什麼切線垂直？
M90008,點與圓的相對關係,能判別點與圓（內部、圓上、外部）的關係，並理解點到圓的距離定義與切線特性。,點在圓外時有幾條切線？,點到圓的距離怎麼算？｜圓心距與半徑關係？｜什麼叫切線性質？
M90009,三角形的外心與中垂線,理解外心的位置為三邊垂直平分線的交點，能利用外心解題。,三角形的外心距三頂點距離相等嗎？,怎麼畫出外心？｜中垂線是什麼？｜外接圓跟它有關嗎？
M90010,三角形的內心與內切圓,了解內心是角平分線交點，能應用於內切圓半徑計算與圓心定位。,畫出三角形的內切圓並求其半徑。,內心在三角形裡面嗎？｜角平分線怎麼畫？｜圓心要怎麼找？
M90011,三角形的重心與面積分割,理解三角形的重心定義，並能運用三條中線的交點為重心，說明三角形面積分割為六個小三角形且面積相等。,標出三角形的重心並說明三個中線如何分割面積。,什麼是重心？｜三角形的中線是什麼？｜為什麼能把面積分成六等分？
M90012,數學證明的概念,理解幾何證明中的推理方式與符號表示，並能針對題意進行邏輯說明。,請說明為什麼垂直平分線上的點到兩端點距離相等。,什麼叫證明？｜一定要寫理由嗎？｜為什麼這樣能推出結論？
M90013,空間中線與面之垂直關係,能判別長方體或正四面體中邊線與面的垂直或平行關係，理解空間中的垂直概念。,判斷空間中兩條線段是否垂直。,空間線段怎麼看垂直？｜立體圖的面與邊有角度嗎？｜一定要畫投影嗎？
M90014,表面積與體積計算,能計算直角柱、正三角柱、圓錐與球等常見立體圖形的表面積與體積。,求一個底面半徑為 4cm、高為 5cm 的圓柱體積。,體積公式怎麼背？｜表面積為什麼要加上側面？｜這些公式有推導嗎？
M90015,二次函數的關係與圖形,能從情境列出二次函數，並畫出圖形與解析對稱軸與頂點。,y = x² - 4x + 3 的圖形對稱軸在哪裡？,什麼是二次函數？｜圖形是什麼形狀？｜怎麼找頂點？
M90016,二次函數圖形的平移與對稱,能將標準式 y = ax² 的圖形進行左右與上下平移，並分析平移後頂點與對稱軸的變化。,畫出 y = (x - 2)² + 3 與 y = x² 的圖形。,平移後的圖形會長怎樣？｜頂點會跟著移動嗎？｜怎麼用公式判斷？
M90017,統計數據的分布與表示,能製作並解釋數據的四分位數、全距、箱型圖，理解集中與離散程度。,畫出下列資料的箱型圖並找出中位數與 IQR。,四分位數是什麼？｜為什麼要畫箱型圖？｜中位數跟平均數有什麼不同？
M90018,機率的基本意義與表示,能理解機率作為比值的概念，並能使用樹狀圖或表格列出所有可能結果。,用樹狀圖列出丟兩枚硬幣的所有結果。,什麼是機率？｜一定要用樹狀圖嗎？｜幾種情況是互斥的？
M90019,古典機率與對稱性,能在對稱性情境下（如銅板、骰子）分析機率並理解所有可能結果的均等性。,擲一顆骰子，點數小於 4 的機率是多少？,什麼是古典機率？｜機率是不是每個情況都一樣？｜怎麼列出全部情況？
M90020,二次函數的極值與對稱軸,能說明二次函數圖形的最大值、最小值與頂點位置，並能從頂點式 y = a(x - h)² + k 判斷圖形性質。,y = -2(x - 3)² + 5 的最大值為何？,怎麼判斷圖形開口向上或向下？｜極值是什麼？｜頂點是極大還是極小？
M90021,二次函數的交點與應用,能求出二次函數與 x 軸交點，並應用於拋物線問題與最大值、時間、距離等情境分析。,某物體拋射高度 y = -5x² + 20x，最高點在何時？,怎麼知道圖形何時最高？｜交點有什麼意義？｜生活中怎麼應用？
M90022,箱型圖的判讀與比較,能從箱型圖比較兩組資料的集中趨勢與離散程度，並解釋 IQR 與極端值的影響。,比較兩班考試成績的箱型圖，哪班表現較穩定？,IQR 是什麼？｜極端值會影響箱型圖嗎？｜怎麼從圖看出集中與分布？
M90023,複合機率的樹狀圖表示,能透過兩層的樹狀圖處理條件機率與組合機率問題。,畫出投一枚硬幣再擲骰子的樹狀圖。,機率可以分兩步嗎？｜條件機率是什麼？｜要怎麼畫樹狀圖？
M90024,資料與圖表的統整,能將原始資料整理為頻率分布表、長條圖、圓形圖等，並能選擇適當圖表呈現。,把學生交通方式資料整理成圓餅圖。,怎麼挑圖表種類？｜長條圖和圓餅圖有什麼差別？｜頻率分布表是什麼？
M90025,變異數與標準差概念（銜接）,初步理解資料的離散程度可以透過變異數與標準差描述。,哪一組資料標準差較大？,標準差是什麼？｜跟全距有什麼不同？｜可以用計算機算嗎？
M90026,二次函數與生活應用,能將生活情境（如面積、拋物線）轉為二次函數並分析圖形與意義。,某球拋出的軌跡符合 y = -x² + 4x + 1，請問何時達到最高點？,生活中為什麼會出現二次函數？｜圖形對我們有什麼幫助？｜最高點一定在中間嗎？
